coming_soon,street_address_1,street_address_2,city,state,station_name,zip,longitude,latitude,num_chargers,availability,power_kW,amenities,link
False,Wickenburg Town Hall155 N Tegner,,Wickenburg,AZ,"Wickenburg, AZ Supercharger",85390-3427,-112.731503,33.970281,8,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/wickenburgsupercharger
False,Holiday Inn Express1251 Virginia Avenue,,Willcox,AZ,"Willcox, AZ Supercharger",85643-1022,-109.845989,32.270148,8,available 24/7,150,"restaurants,wifi,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/willcoxsupercharger
True,,,Yuma,AZ,,,,,,,,,http://tesla.com/findus/location/supercharger/YumaAZQ322
False,Hilton Garden Inn/ Pivot Point Conference Center310  North Madison Avenue,,Yuma,AZ,"Yuma, AZ Supercharger",85364-1417,-114.619093,32.726686,"4,8","available 24/7,available 24/7","250,150","restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/yumasupercharger
True,,,Blytheville,AR,,,,,,,,,http://tesla.com/findus/location/supercharger/BlythevilleARsupercharger
False,Pine Crest Shopping Center1401 Pinecrest Street,,Brinkley,AR,"Brinkley, AR Supercharger",72021,-91.200032,34.904944,8,available 24/7,250,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/BrinkleyARsupercharger
True,,,Chugiak,AK,,,,,,,,,http://tesla.com/findus/location/supercharger/ChugiakAKQ322
False,Kum & Go3920  Southwest Drive,,Jonesboro,AR,"Jonesboro, AR Supercharger",72404,-90.731112,35.7972899,7,available 24/7,250,"beverage,restrooms",http://tesla.com/findus/location/supercharger/JonesboroARSupercharger
False,Outlets of Little Rock11201 Bass Pro Parkway,,Little Rock,AR,Little Rock Supercharger,72210-3056,-92.41031,34.6614,10,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/littlerocksupercharger
False,Workman's Travel Center898 W Monroe Ave,,Lowell,AR,"Lowell, AR Supercharger",72745,-94.153552,36.254582,8,available 24/7,250,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/lowellarsupercharger
False,Workman's Travel Center3202 Pence Lane,,Ozark,AR,"Ozark, AR Supercharger",72949,-93.863577,35.523747,8,available 24/7,250,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/clarksvillesupercharger
False,"Van Buren, AR500 Pointer Trail",,Van Buren,AR,"Van Buren, AR Supercharger",72956,-94.356127,35.458439,6,available 24/7,250,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/VanBurenARsupercharger
True,,,Adelanto,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/AdelantoCAsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/agourahills
False,Alameda South Shore Center523 South Shore Center West,,Alameda,CA,"Alameda, CA Supercharger",94501,-122.249282,37.756611,12,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/alamedacasupercharger
True,,,Alhambra,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/AlhambraCASupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/alhambra1200
False,Holiday Market1200  West 12th Street,,Alturas,CA,"Alturas, CA Supercharger",96101,-120.559776,41.495392,8,available 24/7,250,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/AlturasCAsupercharger
True,,,Anaheim,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/AnaheimCASupercharger2
False,The Pique2404 East Katella Avenue,,Anaheim,CA,"Anaheim, CA - East Katella Avenue Supercharger",92806,-117.88263,33.805025,16,available 24/7,250,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/anaheimeastkatellasupercharger
False,Target8148 East Santa Ana Canyon Road,,Anaheim,CA,"Anaheim, CA - Santa Ana Canyon Road Supercharger",92808,-117.747716,33.86675,20,available 24/7,72,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/anaheimcasupercharger
False,Target5769 Lone Tree Way,,Antioch,CA,"Antioch, CA Supercharger",94531,-121.737539,37.96276,10,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/antiochcasupercharger
False,5 Cities Shopping Center1158 West Branch Street,,Arroyo Grande,CA,"Arroyo Grande, CA - W Branch Rd Supercharger",93420,-120.595873,35.126876,8,available 24/7,250,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/ArroyoGrandeCAsupercharger
False,Rabobank6950 El Camino Real,,Atascadero,CA,"Atascadero, CA Supercharger",93422-4209,-120.666378,35.486585,8,available 24/7,150,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/atascaderosupercharger
False,13437 Bowman Road,,Auburn,CA,"Auburn, CA Supercharger",95603,-121.058145,38.926331,12,available 24/7,250,"restaurants,lodging,restrooms",http://tesla.com/findus/location/supercharger/AuburnCAsupercharger
True,,,Azusa,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/AzusaCASupercharger
False,,,,CA,"Baker, CA Supercharger",not available,-116.08074,35.262655,not available,not available,not available,"restaurants,restrooms",http://tesla.com/findus/location/supercharger/bakercasupercharger
False,Easy Trip Food Store29541 Stockdale Hwy,,Bakersfield,CA,Bakersfield Supercharger,93314-9644,-119.331607,35.354643,10,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/bakersfieldsupercharger
False,Countryside Market & Restaurants9741  South Enos Lane,,Bakersfield,CA,"Bakersfield, CA - South Enos Lane Supercharger",93311,-119.252869,35.26671,12,available 24/7,250,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/BakersfieldCASupercharger22
False,4200 California Aveue,,Bakersfield,CA,"Bakersfield, CA Supercharger",93309,-119.040751,35.094359,not available,not available,not available,not available,http://tesla.com/findus/location/supercharger/BakersfieldCAsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/bakersfieldyoungstreet
False,Ayres Hotel Barstow2812 Lenwood Rd.,,Barstow,CA,Barstow Supercharger,92311-9589,-117.085442,34.849109,16,available 24/7,150,"restaurants,wifi,lodging,beverage,restrooms",http://tesla.com/findus/location/supercharger/barstowcasupercharger
False,Barstow Mall1866  East Main Street,,Barstow,CA,"Barstow, CA - East Main Street Supercharger",92311,-116.995412,34.888286,4,available 24/7,72,"beverage,restrooms",http://tesla.com/findus/location/supercharger/barstowcaeastmainstreetsupercharger
False,Outlets at Barstow2796  Tanger Way,,Barstow,CA,"Barstow, CA - Tanger Way Supercharger",92311,-117.08396,34.8454,20,available 24/7,250,"restaurants,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/BarstowCASupercharger2
False,San Gorgonio Village1540 E. 2nd Street,,Beaumont,CA,"Beaumont, CA Supercharger",92223,-116.9519,33.9228,20,available 24/7,250,"restaurants,shopping",http://tesla.com/findus/location/supercharger/beaumontcasupercharger
False,4416 Gage Avenue,,Bell,CA,"Bell, CA Supercharger",92345,-118.188596,33.977786,8,available 24/7,250,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/BellCAsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/berkeleygilman
False,Ventana Big Sur48123 Highway 1,,Big Sur,CA,"Big Sur, CA - Ventana Supercharger",93920,-121.761368,36.226894,8,available 24/7,72,lodging,http://tesla.com/findus/location/supercharger/bigsurcasupercharger
False,Lot 13151 South Warren Street,,Bishop,CA,"Bishop, CA Supercharger",93514,-118.396576,37.36063,12,available 24/7,250,"restaurants,restrooms",http://tesla.com/findus/location/supercharger/bishopcasupercharger
False,Brea Downtown Parking Structure175 North Madrona Avenue,,Brea,CA,"Brea, CA",92821,not available,not available,not available,not available,not available,"restaurants,restrooms",http://tesla.com/findus/location/supercharger/BreaCASupercharger2
False,Brea Mall1065 Brea Mall,,Brea,CA,"Brea, CA Supercharger",92821,-117.883758,33.914603,20,available 24/7,250,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/BreaCA1supercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/breamall
False,Streets of Brentwood2455 Sand Creek Road,,Brentwood,CA,"Brentwood, CA Supercharger",94513,-121.739623,37.946857,16,available 24/7,250,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/BrentwoodCAsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/brentwoodremotetestdrive
False,Santa Ynez Valley Marriott555 McMurray Rd,,Buellton,CA,"Buellton, CA Supercharger",93427-9559,-120.188432,34.614555,10,available 24/7,150,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/buelltonsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/buenapark
False,,,,CA,"Buena Park, CA - Beach Boulevard Supercharger",not available,-117.995611,33.860439,not available,not available,not available,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/buenaparkcabeachboulevarsdupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/burbank
False,Burbank Town Center495 North Third Street,,Burbank,CA,Burbank - North Third Street,91502,-118.311702,34.184915,20,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/burbanknorththirdstsupercharger
True,,,Burbank,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/BurbankCASupercharger2
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/burlingame
False,,,,CA,Buttonwillow Supercharger,not available,-119.397796,35.400105,not available,not available,not available,"restaurants,wifi,lodging,restrooms",http://tesla.com/findus/location/supercharger/buttonwillowsupercharger
False,Buttonwillow Raceway24551  West Lerdo Highway,,Buttonwillow,CA,"Buttonwillow, CA - Cal Club Rd (No Amenities) Supercharger",93206,-119.546824,35.498433,16,available 24/7,250,not available,http://tesla.com/findus/location/supercharger/ButtonwillowCASupercharger2
False,,,,CA,Cabazon Supercharger,not available,-116.820082,33.931316,not available,not available,not available,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/cabazoncaliforniasupercharger
False,Morongo Travel Center48540  Morongo Trail,,Cabazon,CA,"Cabazon, CA - Morongo Trail Supercharger",92230,-116.802543,33.92426,12,available 24/7,250,"restaurants,beverage,restrooms",http://tesla.com/findus/location/supercharger/CabazonCASupercharger2
False,The Commons at Calabasas4799 Commons Way,,Calabasas,CA,"Calabasas, CA Supercharger",91302-3372,-118.645173,34.154687,20,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/CalabasasCAsupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/camarillo311
True,,,Cameron Park,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/CameronParkCASupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/topanga
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/carlsbad
False,Carlsbad Premium Outlets5620 Paseo Del Norte,,Carlsbad,CA,"Carlsbad, CA - Paseo Del Norte Supercharger",92008,-117.319244,33.12482,16,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/CarlsbadCAsupercharger
False,The Beacon La Costa7710-7770 El Camino Real,,Carlsbad,CA,"Carlsbad, CA Supercharger",92009-8562,-117.266324,33.084093,26,available 24/7,72,"restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/carlsbadsupercharger
False,,,,CA,"Castaic, CA Supercharger",not available,-118.616072,34.452692,not available,not available,not available,"restaurants,beverage",http://tesla.com/findus/location/supercharger/CastaicCASupercharger
False,Los Cerritos Center239 Los Cerritos Center,,Cerritos,CA,"Cerritos, CA Supercharger",90703-5422,-118.091532,33.864724,12,available 24/7,72,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/cerritoscaliforniasupercharger
False,Target1951 East 20th Street,,Chico,CA,"Chico, CA Supercharger",95928,-121.802832,39.726617,18,available 24/7,150,"restaurants,shopping,restrooms",http://tesla.com/findus/location/supercharger/chicocaliforniasupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/chicohussservice
True,,,Chino Hills,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/ChinoHillsCASupercharger2
False,,,,CA,"Chino Hills, CA Supercharger",not available,-117.731178,34.002241,not available,not available,not available,"restaurants,wifi,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/chinohillsupercharger
True,,,Chowchilla,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/ChowchillaCASupercharger
True,,,Chula Vista,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/ChulaVistaCASupercharger
False,Eastlake Village Marketplace910 Eastlake Parkway,,Chula Vista,CA,"Chula Vista, CA Supercharger",91914,-116.967639,32.64921,16,available 24/7,250,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/chulavistacaliforniasupercharger
False,Seasons Place18558 Gale Avenue,,City of Industry,CA,"City of Industry, CA - Gale Avenue Supercharger",91748,-117.899717,33.994487,20,available 24/7,250,"restaurants,wifi,beverage,restrooms",http://tesla.com/findus/location/supercharger/IndustryCAsupercharger
False,The Trading Post870 Herndon Avenue,,Clovis,CA,"Clovis, CA Supercharger",93612,-119.699077,36.836997,12,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/ClovisCAsupercharger
True,,,Coalinga,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/CoalingaCAsupercharger
False,Citadel Outlets100 Citadel Drive,,Commerce,CA,"Commerce, CA Supercharger",90040,-118.149783,34.007148,20,available 24/7,250,"restaurants,wifi,shopping,lodging,beverage,restrooms",http://tesla.com/findus/location/supercharger/CommerceCAsupercharger
True,,,Compton,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/ComptonCASupercharger
False,Willows Shopping Center1975 Diamond Boulevard,,Concord,CA,"Concord, CA - Diamond Blvd Supercharger",94520,-122.058611,37.969792,16,available 24/7,250,"restaurants,wifi,shopping,lodging,restrooms",http://tesla.com/findus/location/supercharger/ConcordCAsupercharger
False,The Veranda2001 Diamond Blvd.,,Concord,CA,"Concord, CA Supercharger",94520,-122.058569,37.970182,19,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/concordcaliforniasupercharger
False,Copperopolis Town Square100 Town Square Road,,Copperopolis,CA,"Copperopolis, CA Supercharger",95228,-120.653296,37.972834,12,available 24/7,250,"restaurants,beverage,restrooms",http://tesla.com/findus/location/supercharger/CopperopolisCAsupercharger
False,Rabobank Corning950 Hwy 99 W,,Corning,CA,"Corning, CA Supercharger",96021-2706,-122.1984,39.92646,"6,2","available 24/7,available 24/7","150,72","restaurants,wifi,restrooms",http://tesla.com/findus/location/supercharger/corningsupercharger
False,Target Superstore2615 Tuscany Street,,Corona,CA,"Corona, CA Supercharger",92881-4631,-117.515537,33.826525,20,available 24/7,72,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/coronacasupercharger
False,The Village at Corte Madera1618 Redwood Highway,,Corte Madera,CA,"Corte Madera, CA Supercharger",94925,-122.514787,37.928225,10,available 24/7,72,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/cortemaderasupercharger
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/cortemadera201
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/villageatcortemadera
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/costamesa
,,,,,,,,,,,,,http://tesla.com/findus/location/supercharger/costamesaservice
True,,,Costa Mesa,CA,,,,,,,,,http://tesla.com/findus/location/supercharger/CostaMesaCAsupercharger
False,Holiday Market20635  Gas Point Road,,Cottonwood,CA,"Cottonwood, CA Supercharger",96022,-122.287832,40.389169,12,available 24/7,250,"restaurants,shopping,beverage,restrooms",http://tesla.com/findus/location/supercharger/CottonwoodCASupercharger
False,Crescent City Downtown Parking1000 Front Street,,Crescent City,CA,Crescent City Supercharger,95531-4307,-124.1944,41.752393,6,available 24/7,150,"restaurants,wifi,shopping,restrooms",http://tesla.com/findus/location/supercharger/crescentcitysupercharger
